"country,iso3,pillar,module,indicator_id,indicator_name,indicator_type,variable_name,question,hierarchy_level,data_type,response,response_value,normalized_response_value,weight,score,parent,row_order,question_order,wip,wib,wim,regional_hub,un_region,barometer_region,city,city_ascii,lat,lng,iso2,capital,Capa",
,
"Australian Public Service Commission, APS Academy: Statistics to make evidence-based decisions, https://www.apsc.gov.au/initiatives-and-programs/learning-and-development/aps-academy",
,
,
"Department of Prime Minister and Cabinet, 2020, Data Skills and Capability in the Australian Public Service, https://pmc.gov.au/sites/default/files/publications/data-skills-capability.pdf",
,
"Office of the Australian Information Commissioner, Training Resources, https://www.oaic.gov.au/privacy/training-resources/",
,
"Open Data Australia, Training, https://www.opendataaustralia.org/training-1"",2.0,0.6666666666666666,1.0,34.0,C.CAPABILITIES.TRAIN,0.0,51025.0,0.12,0.0288,0.095,Access Info Europe,Australia and New Zealand,""European Union, United Kingdom, North America, Israel, Australia and New Zealand"",Melbourne,Melbourne,-37.8142,144.9631,AU,admin,Capacidades",
"Azerbaijan,AZE,Capabilities,CAPABILITIES,C.CAPABILITIES.TRAIN,Capability (C): Civil service,Primary,C.CAPABILITIES.TRAIN,To what extent is the government providing training to develop civil servants' data literacy and data skills?,1,response,""Central management in the field of civil service is carried out by the State Examination Center and the Civil Service Management Council. Civil service in the Republic of Azerbaijan: Development Strategy for 2019-2025 is the current document on the organization of training for civil servants (1). The document highlights the importance of data and analytical skills in public servants. However, there is not a specific plan for increasing data literacy among public officials. ",
"The Ministry of Transportation, Communication, and High Tech have ICT Lab – a training center to provide data analytics training to the public officials. ICT Lab has periodically organized training and lectures covering the discussed subject.",
,
Source: ,
-1,Civil service in the Republic of Azerbaijan Development Strategy for 2019-2025 (23.11.2018) 
http://dim.gov.az/upload/iblock/44a/44a5cbe33eb362333ef99f7aa0ce6701.pdf,
"---"",1.0,0.3333333333333333,1.0,20.4,C.CAPABILITIES.TRAIN,0.0,51025.0,0.12,0.0288,0.095,IDFI Georgia,Western Asia,Eastern Europe and Central Asia,Baku,Baku,40.3953,49.8822,AZ,primary,Capacidades",
"Bahamas, The,BHS,Capabilities,CAPABILITIES,C.CAPABILITIES.TRAIN,Capability (C): Civil service,Primary,C.CAPABILITIES.TRAIN,To what extent is the government providing training to develop civil servants' data literacy and data skills?,1,response,""The government provides opportunities for the training of public sector workers but there is no evidence that these include data literacy and skills. There is very little information available online on public sector training activities. The listed links are the sources that could be located and had some bearing on  issue under examination. The PSCHRD is responsible for training public servants and conduct ongoing training activities as indicated by the schedule (1). There is, however, no evidence that training involves data skills although the revamping of the national statistical system implies equipping workers with those skills (2). ",
,
"(1) PSCHRD Training Schedule, 2017. https://www.bahamas.gov.bs/wps/wcm/connect/e6322941-2913-4ddd-996b-a1f6d4c3b95f/Circular+No.+16+of+2017+dated+17.05.17.pdf?MOD=AJPERES",
,
"(2) National Statistics. https://www.bahamas.gov.bs/wps/portal/public/National%20Statistics/!ut/p/b1/vZPJjqNIEIafpR-gmoQ0JByxwWxmJ9kuCIxtFgM2YMA8fXtGJY1mRl11aTnjlNIf-kKfIoiYiBAFOETREBEhEbfpVF7Sseza9PrXP2YSewts98BBXhJcEfDbg-uJgiVJKiICIpQjdBA6ZRZFP7nFw8MNRvfqMsYupe2unKJGE0dTic2d7yaQln3rbClPP8iZYr2aGYc16HN3GrWOcLWvRUfv55u-pqczUGptd7wUnqZIl2ovnguDDyunkHLF_XAKsbWLNbhtpaOdJH3uhpzkO1BzwqdaKvso0UcpBnfO1Vx2HjhJ3tdZpnb-adS5LIN9sUMzwMs4Vjg6nPeRSa2TzXP37WF_nCBjny1o4uQlIHoJAL95PPjSDw0--78IfOs3_jsCgaTz_IbVXz0MULB14C0kU-YGfAa-GvFLiAWJ6BVAvx-SJDwiBJvErZ43Za1Xp1pdOArbg4fnhfSC1RNhYOB69QzDcCt9Bquve7h-eqBb9Homdc6yct_BW16ACX8xvwEewLuB1LuB9LuB6M1AYfNu4Lu3VIB_HKgScZk1P-dj8xP8ZBkOQpZjSMSyNA04wj8cu0UYlFlQwuLOuALJRqv6rAdNpPKobKiOEvCxHXZRe0-sntos5iRMPuD5KKkaufHNeODb64Hc5SWTRduMfXiT0wkxKdYcbOnldJ355dhzaMOzY_kw0vsHebwweyNoG1_Ra8-b1IcS1AFV4TIJtk2kRcN1bCE2255NGY_TZY7vdN3-8YMw5K45faPQ-_9Wgpka8HPxBFUlKzwbuMUGbhbDOJGu-NIqgnUQZ8rFN30U7HUwhE-Fu_6xTvQ3QMi8G0i_GaiCdwPfrVT980r_dXeIphGANEvSCMENCwm_ipglG_RZEJ3EsSfZud3R1g7dW8AIsSytr9GGhbdrfBNi04JoMFHa5XqOuqpiEUzavdfrs608kTqkuzLT-HA3Be5Jye1G2djO_hwg9VI4wdbsLQY2fc_IQIbDWn4kpm0_s3jVUfYheYY8lqpYRWGU61faGzxTtg43Li3y2-tua7PZu-nRCXNwSbTICR_51Q7w-YxxG6kdkuzMcA3BS6wkugqhmePK2mg1WBqGrvfOI6Bi9s5MjnjeyuckkWWamzLuIt4rqkFEE_fP8qN2WPI_BYue_qcuvwCr7Kej/dl4/d5/L2dBISEvZ0FBIS9nQSEh/"",0.0,0.0,1.0,0.0,C.CAPABILITIES.TRAIN,0.0,51025.0,0.12,0.0288,0.095,The Caribbean Open Institute (COI),Caribbean,Latin America and the Caribbean,Nassau,Nassau,25.0781,-77.3386,BS,primary,Capacidades",
"Bahrain,BHR,Capabilities,CAPABILITIES,C.CAPABILITIES.TRAIN,Capability (C): Civil service,Primary,C.CAPABILITIES.TRAIN,To what extent is the government providing training to develop civil servants' data literacy and data skills?,1,response,""Bahrain's Open Data strategy mention in its 3rd point that it will """"Help improve the capacity and capability of public bodies in implementing Open Data and work towards building core competencies in Open Data in niche areas"""". (1)",
,
## References,
,
"1- https://www.data.gov.bh/en/strategy"",1.0,0.3333333333333333,1.0,0.0,C.CAPABILITIES.TRAIN,0.0,51025.0,0.12,0.0288,0.095,Birzeit University,Western Asia,Middle East and North Africa,Manama,Manama,26.225,50.5775,BH,primary,Capacidades",
"Bangladesh,BGD,Capabilities,CAPABILITIES,C.CAPABILITIES.TRAIN,Capability (C): Civil service,Primary,C.CAPABILITIES.TRAIN,To what extent is the government providing training to develop civil servants' data literacy and data skills?,1,response,""There is evidence of government´s actions to train civil servants on data matters. Two organisations provide training that are open to non-technical public servants. However the trainings are limited to high level officials at the national level. Moreover  none of the organisations offer dedicated course on data/data literacy/open data.",
,
Sources:,
(1) Bangladesh Public Administration Training Centre (http://www.bpatc.org.bd) ,
2. BPATC Training Guideline (http://www.bpatc.org.bd/images/document/90_FTC_Guidelines.pdf),
"3. Bangladesh Civil Service Administration Academy (http://www.bcsadminacademy.gov.bd)"",2.0,0.6666666666666666,1.0,43.20000000000001,C.CAPABILITIES.TRAIN,0.0,51025.0,0.12,0.0288,0.095,East-West Management Institute Inc. (EWMI),Southern Asia,South and East Asia,Dhaka,Dhaka,23.7639,90.3889,BD,primary,Capacidades",
"Belarus,BLR,Capabilities,CAPABILITIES,C.CAPABILITIES.TRAIN,Capability (C): Civil service,Primary,C.CAPABILITIES.TRAIN,To what extent is the government providing training to develop civil servants' data literacy and data skills?,1,response,Civil society organizations have often provided training in this area. These organizations were repressed by the government in July-September 2021,0.0,0.0,1.0,0.0,C.CAPABILITIES.TRAIN,0.0,51025.0,0.12,0.0288,0.095,IDFI Georgia,Eastern Europe,Eastern Europe and Central Asia,Minsk,Minsk,53.9,27.5667,BY,primary,Capacidades",
"Belize,BLZ,Capabilities,CAPABILITIES,C.CAPABILITIES.TRAIN,Capability (C): Civil service,Primary,C.CAPABILITIES.TRAIN,To what extent is the government providing training to develop civil servants' data literacy and data skills?,1,response,""The government of Belize based on its open government plan (1) is investing in training to develop civil servants' data literacy and data skills. The work the government of Belize is doing in this area was confirmed by information provided by another key source, Alexia Peralta, future director of E-government and digitalization, Government of Belize",
,
Source,
"(1) Belize Open Government Plan, 2020. https://www.belize.org/the-belize-open-government-action-plan-is-now-available/"",1.0,0.3333333333333333,1.0,29.700000000000003,C.CAPABILITIES.TRAIN,0.0,51025.0,0.12,0.0288,0.095,The Caribbean Open Institute (COI),Central America,Latin America and the Caribbean,Belize City,Belize City,17.4986,-88.1886,BZ,admin,Capacidades",
"Benin,BEN,Capabilities,CAPABILITIES,C.CAPABILITIES.TRAIN,Capability (C): Civil service,Primary,C.CAPABILITIES.TRAIN,To what extent is the government providing training to develop civil servants' data literacy and data skills?,1,response,""In Benin, there is no national training or capacity building process on data for the benefit of civil servants. However, the national statistics institute offers training in statistics (1) for those who are interested, including civil servants. ",
,
"Learners who do their training at the National Institute of Statistics, obtain a certificate of end of training. There is also training in statistics with the national statistics institute in Cotonou. If you want to take part in their training, you have to live in Cotonou.",
,
Source:,
"(1) https://insae.bj/bon-a-savoir/53-centre-de-formation-professionelle-de-l-insae-cfpi"",0.0,0.0,1.0,0.0,C.CAPABILITIES.TRAIN,0.0,51025.0,0.12,0.0288,0.095,Local Development Research Institute (LDRI),Western Africa,Africa,Cotonou,Cotonou,6.3667,2.4333,BJ,primary,Capacidades",
"Bolivia,BOL,Capabilities,CAPABILITIES,C.CAPABILITIES.TRAIN,Capability (C): Civil service,Primary,C.CAPABILITIES.TRAIN,To what extent is the government providing training to develop civil servants' data literacy and data skills?,1,response,""At the national level, in recent years there is no evidence of training for public officials, however, at the subnational level, some progress was made in promoting issues related to open data and open contracting. (1).",
,
##Sources,
https://www.facebook.com/TransparenciaLaPazgamlp/posts/947444305442621,
"https://www.facebook.com/TransparenciaLaPazgamlp/posts/1006604702859914"",3.0,1.0,1.0,42.00000000000001,C.CAPABILITIES.TRAIN,0.0,51025.0,0.12,0.0288,0.095,ILDA,South America,Latin America and the Caribbean,Santa Cruz de la Sierra,Santa Cruz de la Sierra,-17.7892,-63.1975,BO,primary,Capacidades",
"Botswana,BWA,Capabilities,CAPABILITIES,C.CAPABILITIES.TRAIN,Capability (C): Civil service,Primary,C.CAPABILITIES.TRAIN,To what extent is the government providing training to develop civil servants' data literacy and data skills?,1,response,""Most of the information about the work of the Directorate of Public Service Management(DPSM) is not available online. There is a lack of transparency about their training programs and what they have achieved so far.",
,
"For most parts of the survey questions, there is no answer for justification, this is one of the research limitations."",1.0,0.3333333333333333,1.0,20.4,C.CAPABILITIES.TRAIN,0.0,51025.0,0.12,0.0288,0.095,Local Development Research Institute (LDRI),Southern Africa,Africa,Gaborone,Gaborone,-24.6581,25.9122,BW,primary,Capacidades",
"Brazil,BRA,Capabilities,CAPABILITIES,C.CAPABILITIES.TRAIN,Capability (C): Civil service,Primary,C.CAPABILITIES.TRAIN,To what extent is the government providing training to develop civil servants' data literacy and data skills?,1,response,""The General Coordination of Governance in Information Technology of the Secretariat for Digital Government is responsible for carrying out the governance of the Information Technology Resource Management System. This work involves the following actions: dialogue with the managers and teams of the Information Technology units; carrying out and supervising periodic individual performance assessment procedures; expansion of the number of servers that work in the digital transformation; and training of professionals in areas of knowledge that are essential for the digital transformation, as defined in the Federal Government's Digital Government Strategy (1).",
,
"Capacity Development Program for Digital Transformation (2) Capacita.gov.br, in partnership with Enap, intends to train professionals to support the Digital Government Strategy.",
"The Program is a partnership between the National School of Public Administration Foundation and the Secretariat for Digital Government (2). The program corresponds to objective 16 of the Digital Government Strategy 2020-2022, which aims to provide technical and managerial capacity for digital transformation, prioritizing seven areas of knowledge, including data science, leadership, and innovation, security and privacy, and focused digital services to the citizen (3).",
,
Sources:,
(1) https://www.gov.br/governodigital/pt-br/sisp/governanca-de-talentos,
(2) https://www.in.gov.br/web/dou/-/portaria-conjunta-n-6-de-14-de-marco-de-2019-68561375,
"(3) https://www.in.gov.br/web/dou/-/decreto-n-10.332-de-28-de-abril-de-2020-254430358"",2.0,0.6666666666666666,1.0,47.6,C.CAPABILITIES.TRAIN,0.0,51025.0,0.12,0.0288,0.095,ILDA,South America,Latin America and the Caribbean,São Paulo,Sao Paulo,-23.55,-46.6333,BR,admin,Capacidades",
"Bulgaria,BGR,Capabilities,CAPABILITIES,C.CAPABILITIES.TRAIN,Capability (C): Civil service,Primary,C.CAPABILITIES.TRAIN,To what extent is the government providing training to develop civil servants' data literacy and data skills?,1,response,""The Institute of Public Administration (IPA) is a structure of the Council of Ministers of the Republic of Bulgaria and is the leading institution for training of civil servants in the public administration. In the 2019-2021 period it offered between two and five training courses on open data: 2019 E-5 Data bases analysis and visualizations; 2019 OP1 Innovation lab; 2020 P-10 Open data in government; 2020 DK-5 Data bases analysis and visualizations; 2020 DK-6 Data bases analysis and visualizations (advanced); 2021 P13 High-value data sets; 2021 P10 Open data in government: Quality and impact of open data; 2021 DK 5 Data bases analysis and visualizations (basic); 2021 DK-6 Data bases analysis and visualizations (advanced); 2021 OP1 Practical work with open data – upgrading training. All the trainings are listed in further detail in the Institutes respective catalogues for 2019, (1) 2020, (2), and 2021 (3).",
"These trainings are available to all central executive bodies, as well as to the local government bodies. In the 2019-2021 period all the trainings gathered 68 groups and a total of 1102 trainees which compared to the 570+ executive (including local government) bodies is not a very high coverage.",
(1) 2019 IPA Catalogue https://www.ipa.government.bg/sites/default/files/katalog_obuchenia_ipa_2019_online_0_0.pdf,
(2) 2020 IPA Catalogue https://www.ipa.government.bg/sites/default/files/ipa_katalog2020_online_0_0.pdf,
"(3) 2021 IPA Catalogue https://www.ipa.government.bg/sites/default/files/tablica_kursove_proekt_2021.pdf"",2.0,0.6666666666666666,1.0,68.40000000000002,C.CAPABILITIES.TRAIN,0.0,51025.0,0.12,0.0288,0.095,Access Info Europe,Eastern Europe,""European Union, United Kingdom, North America, Israel, Australia and New Zealand"",Sofia,Sofia,42.7,23.33,BG,primary,Capacidades",
"Burkina Faso,BFA,Capabilities,CAPABILITIES,C.CAPABILITIES.TRAIN,Capability (C): Civil service,Primary,C.CAPABILITIES.TRAIN,To what extent is the government providing training to develop civil servants' data literacy and data skills?,1,response,""There is evidence that the government provides training to develop the data knowledge and skills of civil servants. The National Statistics Council provides information showing, for example, several training courses conducted as part of the activities of the National Statistics System (NSS) structures (1). The Public Management and Statistics Support Program (PAGPS), with a """"statistics"""" sub-program, also provides information on making quality and sufficiently analyzed statistical data available to users for the design, monitoring and evaluation of development policies and programs (2).",
"For the National Statistical Council, these trainings are for the benefit of statisticians, any statistical survey designer, statisticians-economists, macroeconomists, planners, or non-statisticians agents of the administration and any user of statistics (1).",
"Only that by consulting the training courses provided on the website of the National Council of Statistics, the recent year of publication of online training is 2018. But this does not mean that since then there have been no trainings provided just that it is not available in statistical form. Otherwise, it is recognized that the use of statistics is also very varied and very much related to the types of users. Training of some users of statistics has been done in the ARC-SSN and PAR-GS projects. They must be continued and extended within the framework of PAGPS (3). For example, a training workshop on tourism statistics was held in February 2021. This was for civil and political society, related to the field, which aims to raise awareness and train on statistics (4).",
Sources :,
(1)http://cns.bf/formations.html,
(2)http://www.pagps.net/ ,
(3)http://pagps.net/propos.php ,
"(4)https://infosculturedufaso.net/tag/dappui-au-renforcement-des-capacites-du-systeme-statistique-national-arc-ssn/"",2.0,0.6666666666666666,1.0,39.60000000000001,C.CAPABILITIES.TRAIN,0.0,51025.0,0.12,0.0288,0.095,Local Development Research Institute (LDRI),Western Africa,Africa,Ouagadougou,Ouagadougou,12.3686,-1.5275,BF,primary,Capacidades",
"Cambodia,KHM,Capabilities,CAPABILITIES,C.CAPABILITIES.TRAIN,Capability (C): Civil service,Primary,C.CAPABILITIES.TRAIN,To what extent is the government providing training to develop civil servants' data literacy and data skills?,1,response,""There is some evidence of the Cambodian government providing training to develop civil servants' data literacy and data skills, although it is not widespread - except for training in operating the Financial Management Information System provided by the Ministry of Economy and Finance to key finance staff at both the national and the sub-national level. (1)(2)(3)",
,
"Pursuant to the Statistics Law (4) the NIS has jurisdiction to coordinate statistical development activities, including trainings. However, the NSDS 2019-2023 (5) is the first statistical development strategy. Indeed, the strategy itself (at p17) notes that """"the RGC has not yet focused on statistical development as an important national objective that could be better reflected in the NSDP and national budget, especially with the implementation of the global agenda on sustainable development now under way"""".",
Sources:,
(1) The National Institute of Statistics. 2019. The National Strategy for the Development of Statistics 2019-2023. Royal Government of Cambodia. http://www.nis.gov.kh/index.php/km/2-uncategorised/84-national-strategy-for-the-development-of-statistics,
"(2) Khmer Times. January 8, 2021. More Than 900 Civil Servants Picked for Skills Training. https://www.khmertimeskh.com/50801677/more-than-900-civil-servants-picked-for-skills-training/",
"(3) Ministry of Economy and Finance. 2018. FMWG, Oracle and First Cambodia on the Expansion of FMIS Data Center. Royal Government of Cambodia. https://fmis.mef.gov.kh/en/news-en/fmwg-oracle-and-first-cambodia-on-the-expansion-of-fmis-data-center/",
(4) Statistics Law. 2015. https://www.nis.gov.kh/nis/For%20Menu/statistics%20law/Statistics%20Law%202015_English.pdf,
"(5) National Strategy for the Development of Statistics 2019-2023. National Institute of Statistics. http://www.nis.gov.kh/nis/NSDS/NSDS%20book.pdf"",2.0,0.6666666666666666,1.0,54.000000000000014,C.CAPABILITIES.TRAIN,0.0,51025.0,0.12,0.0288,0.095,East-West Management Institute Inc. (EWMI),South-Eastern Asia,South and East Asia,Phnom Penh,Phnom Penh,11.5694,104.9211,KH,primary,Capacidades",
"Cameroon,CMR,Capabilities,CAPABILITIES,C.CAPABILITIES.TRAIN,Capability (C): Civil service,Primary,C.CAPABILITIES.TRAIN,To what extent is the government providing training to develop civil servants' data literacy and data skills?,1,response,""Statistical units of government ministries and agencies as well as non-technical public officials are heavily involved so as to ensure that the information is a tool for informed decision making in the context of a given public policy. ",
,
"Source: Interview with Mr. Ambroise Abanda, Head of the Statistical Coordination and Dissemination Division, at the National Institute of Statistics, on July 20th, 2021."",1.0,0.3333333333333333,1.0,29.700000000000003,C.CAPABILITIES.TRAIN,0.0,51025.0,0.12,0.0288,0.095,Local Development Research Institute (LDRI),Middle Africa,Africa,Douala,Douala,4.05,9.7,CM,admin,Capacidades",
"Canada,CAN,Capabilities,CAPABILITIES,C.CAPABILITIES.TRAIN,Capability (C): Civil service,Primary,C.CAPABILITIES.TRAIN,To what extent is the government providing training to develop civil servants' data literacy and data skills?,1,response,""The Canada School of Public Service established the CSPS Digital Academy to help in developing digital knowledge and skills of public servants (1). Trainings are developed by an established team of Digital Fellows and covers topics on data gathering, analysis and visualisation with a primary target audience of non-technical public servants. Very few specialized courses for data centred roles exist.",
,
Source:,
"(1) Canada School of Public Service, Digital Academy. https://www.csps-efpc.gc.ca/digital-academy/index-eng.aspx"",3.0,1.0,1.0,63.000000000000014,C.CAPABILITIES.TRAIN,0.0,51025.0,0.12,0.0288,0.095,Access Info Europe,Northern America,""European Union, United Kingdom, North America, Israel, Australia and New Zealand"",Toronto,Toronto,43.7417,-79.3733,CA,admin,Capacidades",
"Chile,CHL,Capabilities,CAPABILITIES,C.CAPABILITIES.TRAIN,Capability (C): Civil service,Primary,C.CAPABILITIES.TRAIN,To what extent is the government providing training to develop civil servants' data literacy and data skills?,1,response,""There is little information about data and open data training for public officials. There is only a record of training from the National Institute of Statistics.",
,
Sources,
,
"#1 Technical Conferences of the National Institute of Statistics: https://www.ine.cl/prensa/detalle-prensa/2021/06/22/danielle-zaror-el-principio-fundacional-sobre-protección-de-datos-es-que-estos-pueden-circular-libremente-pero-en-las-condiciones-debidas"",1.0,0.3333333333333333,1.0,6.3,C.CAPABILITIES.TRAIN,0.0,51025.0,0.12,0.0288,0.095,ILDA,South America,Latin America and the Caribbean,Santiago,Santiago,-33.4372,-70.6506,CL,primary,Capacidades",
"China,CHN,Capabilities,CAPABILITIES,C.CAPABILITIES.TRAIN,Capability (C): Civil service,Primary,C.CAPABILITIES.TRAIN,To what extent is the government providing training to develop civil servants' data literacy and data skills?,1,response,""There are isolated evidence online proving that there are different types trainings were designed and delivered to public servants on data matters. But there is no planned strategy or consistent training programs at either national level or local level. ",
,
"The national government issued a 2018-2020 Plan for Public Servants (Carde) Training (1), it listed big data and AI as one of important tool that needs to be leveraged and taugt to public servants. There many different types of training were organized for public servants. ",
"For instance, Jinan City Big Data Bureau organized a data training program with Shandong University targeting public servants within the bureau but also targetting public servants who has data skill in other departments (2). The other example is from Zhejiang University who was commissioned by Shanxi Province Government to deliver training for 52 youth public servants from different level across government departments. (3) In addtion to above two types of training designed for a general purpose on understanding big data and how data might be used in theory ing overnance,  there are also training targeting specific group on specific topic. For instance the National Information Center organized a trainig session in the end of 2019 tagetting public servants who are in charge of data sharing platform across 29 provinces and 62 cities governments (4) on the topic of data sharing policy and platform management. ",
There might also be quite technical training designed for public servants. One of example known to the public is one of Jingan District government department commissoned a research lab at Fudan university to deliver a 2-month training on big data policy but also specific technical tools and skills (5). But whether there are more training like this is a bit unknown through online search.,
,
,
"(1) 《2018-2022年全国干部教育培训规划》,http://www.gov.cn/zhengce/2018-11/01/content_5336680.htm",
"(2)市大数据系统干部能力素质提升培训班圆满举办,http://www.jinan.gov.cn/art/2020/11/16/art_52_4762533.html",
"(3)陕西省青年公务员大数据运用与政府创新管理专题培训班在浙大成功举办,http://www.zju.zj.cn/news1.aspx?id=3584&fl=302&m=4",
"(4)国家信息中心(国家电子政务外网管理中心)组织召开国家数据共享交换平台标准培训交流会, https://www.ndrc.gov.cn/fggz/gbzj/wsgz/201912/t20191213_1213485_ext.html",
"(5) 终于等到你,静安人社数据大赛决赛,https://www.sohu.com/a/211290848_729805"",1.0,0.3333333333333333,1.0,25.5,C.CAPABILITIES.TRAIN,0.0,51025.0,0.12,0.0288,0.095,Open Data China,Eastern Asia,South and East Asia,Guangzhou,Guangzhou,23.13,113.26,CN,admin,Capacidades",
"Colombia,COL,Capabilities,CAPABILITIES,C.CAPABILITIES.TRAIN,Capability (C): Civil service,Primary,C.CAPABILITIES.TRAIN,To what extent is the government providing training to develop civil servants' data literacy and data skills?,1,response,""Circular 3 of 2021 of the Ministry of Information Technologies, the Welfare and Incentives Plan and the Institutional Training Plan for public servants, there is information on training and literacy of data issues and other issues related to technology and innovation, the circular contains a list of training. These trainings have to do with data governance, legal frameworks, use of information systems, data analysis and data visualization.",
,
"As they are open call, these sessions do not have specific target audiences.",
,
##Sources:,
"(1) https://normograma.mintic.gov.co/mintic/docs/circular_mintic_0003_2021.htm?q=capacitacion"",3.0,1.0,1.0,51.0,C.CAPABILITIES.TRAIN,0.0,51025.0,0.12,0.0288,0.095,ILDA,South America,Latin America and the Caribbean,Bogotá,Bogota,4.7111,-74.0722,CO,primary,Capacidades",
